Index,Progress,Age,HouseoldIncome,Gender_2,Gender,Ethnicity,Ethnicity_selfDefined,Religious_Affilation,Highest_Qualification,SocialMedia_Use,Extremism_ScorePCA,Extermism_scoreScaled,Strain_Resilience_score,Strain_Score,Resilience_score,Confidence_inSelf,Political_Engagment,Political_LeaningRight_Left,Racism_scale
2576,100,52,6,1,1,3,British,2,3,1.452564713,0.575972675,0,0.834974083,0.263541272,1.082102599,0.127664385,0.536251216,1.69131045,1.057040397
2578,100,62,0,1,1,3,British,5,2,-0.093914411,0.575972675,0,2.013124346,1.170543529,1.082102599,-0.160362521,-0.682311858,0.45243512,1.057040397
2579,100,NA,3,1,1,3,English,2,4,-0.986113906,NA,NA,0.973579997,0.181086521,1.168544536,NA,NA,0.363944025,0.262153509
2582,100,59,0,0,0,3,English,0,2,-1.224033772,-0.622010912,1.678782998,1.458700693,-0.066277731,1.687196158,0.127664385,-0.682311858,-0.697949115,-1.327620268
2583,100,25,20,0,0,3,English,2,5,1.095684915,-2.780747077,4.703907558,-0.065964353,1.170543529,-1.511155508,-1.456483598,1.145532752,-0.43247583,-0.53273338
2584,100,56,0,1,1,3,English,0,5,-0.867153974,0.575972675,0,-0.204570266,-1.22064424,1.168544536,1.279772008,-0.073030321,-0.25549364,-0.930176824
2586,100,NA,3,0,0,3,British,0,2,-0.510274176,0.575972675,0,0.003338604,0.09863177,-0.646736139,-0.880429786,-0.682311858,-0.697949115,NA
2587,100,77,2,1,1,3,English,2,1,-0.093914411,0.575972675,0,-0.065964353,-0.231187232,-0.04164258,0.415691291,-0.682311858,-0.25549364,1.057040397
2592,100,65,11,1,1,3,English,0,3,-0.629234108,0.575972675,0,0.973579997,0.01617702,1.34142841,0.415691291,0.536251216,0.27545293,0.659596953
2594,100,NA,2,0,0,3,European,2,5,1.214644848,NA,NA,-0.273873223,0.758269776,-0.992503886,-0.304375974,0.536251216,NA,1.057040397
2595,100,NA,6,0,0,3,British,0,NA,-1.045593873,-1.290633831,2.615751417,-0.758993919,0.181086521,-1.338271634,-0.016349068,NA,-0.874931305,-1.327620268
2600,100,51,11,0,0,3,British,2,3,NA,0.575972675,0,0.4884593,-0.066277731,1.34142841,1.135758555,-0.682311858,0.540926215,0.262153509
2604,100,64,1,0,0,3,English,2,2,1.036204949,0.575972675,0,-2.838082617,-4.024105762,0.649892915,-1.600497051,-0.073030321,0.894890595,1.057040397
2606,100,53,7,1,1,3,British,2,5,0.144005454,0.575972675,0,-0.481782092,-0.973279988,0.736334852,-0.304375974,-0.682311858,0.717908405,0.659596953
2611,100,79,9,0,0,3,British,0,4,-0.867153974,0.575972675,0,0.834974083,0.840724526,-0.04164258,1.423785461,NA,0.540926215,NA
2613,100,31,7,1,1,3,English,2,4,1.868924477,0.457030781,0.166678101,0.834974083,0.675815025,0.304125167,-0.016349068,-0.682311858,0.717908405,0.659596953
2614,100,NA,13,0,0,3,English,0,NA,-0.034434445,0.575972675,0,0.003338604,1.170543529,-1.424713571,1.279772008,-0.682311858,-1.228895685,-1.725063713
2618,100,53,6,0,0,3,European,2,5,NA,0.575972675,0,1.735912519,0.593360274,1.34142841,1.279772008,-0.682311858,0.894890595,1.057040397
2619,100,18,0,0,0,3,English,2,2,-0.807674007,-0.004256377,0.813098508,0.211247474,1.088088778,-1.078945823,0.271677838,NA,1.33734607,0.659596953
2621,100,NA,7,0,0,3,British,2,3,0.85776505,0.575972675,0,0.349853387,1.005634028,-0.300968391,-0.304375974,NA,0.363944025,1.057040397
2622,100,NA,12,0,0,3,British,0,3,-0.212874344,0.575972675,0,0.072641561,0.593360274,-0.733178076,0.991745102,NA,-0.25549364,1.057040397
2625,100,60,2,0,0,3,Welsh,2,3,-1.045593873,0.575972675,0,0.141944517,0.758269776,-0.819620013,0.127664385,-0.682311858,0.09847074,0.262153509
2626,100,54,7,0,0,3,English,2,NA,-0.391314243,-0.536587684,1.559075963,0.003338604,0.923179277,-1.16538776,-0.304375974,-0.682311858,-1.051913495,-0.930176824
2627,100,65,2,0,0,3,English,2,4,0.144005454,-0.644563839,1.710387329,-0.273873223,-0.478551484,0.477009041,-1.456483598,3.582658899,1.602819355,1.057040397
2628,100,49,3,1,1,3,Scottish,2,2,0.144005454,-0.118673321,0.973435613,0.072641561,0.840724526,-0.992503886,1.279772008,-0.073030321,0.62941731,0.659596953
2629,100,NA,6,0,0,3,British,0,5,-0.807674007,0.575972675,0,0.627065214,0.263541272,0.822776789,NA,-0.073030321,-1.051913495,-0.53273338
2630,100,NA,19,0,0,3,European,0,3,-1.402473671,-1.029632739,2.25,-0.065964353,1.170543529,-1.511155508,0.559704744,NA,0.009979645,-0.135289936
2632,100,71,4,0,0,3,British,2,NA,-1.342993704,0.575972675,0,-0.343176179,0.840724526,-1.338271634,-1.168456692,NA,0.009979645,0.659596953
2633,89,NA,3,0,0,3,British,0,3,0.20348542,NA,NA,-0.135267309,0.675815025,-1.078945823,0.703718197,NA,NA,-1.725063713
2634,100,57,20,0,0,3,English,2,3,-0.093914411,0.575972675,0,1.389397736,0.263541272,1.773638095,-0.016349068,-0.682311858,-0.167002545,0.262153509
2635,100,56,8,1,1,3,British,0,4,-0.510274176,0.575972675,0,0.349853387,-0.313641983,1.082102599,0.127664385,NA,0.717908405,1.057040397
2637,89,23,3,0,0,3,British,2,2,0.144005454,0.575972675,0,0.627065214,1.088088778,-0.560294202,0.127664385,NA,1.071872785,1.057040397
2639,100,18,0,0,0,3,Welsh,2,2,-0.629234108,-1.238039211,2.542048442,-0.620388006,0.345996022,-1.338271634,-2.176550862,NA,1.51432826,0.262153509
2640,100,51,2,0,0,3,European,0,2,0.084525487,-1.008520423,2.220414455,0.349853387,0.923179277,-0.733178076,-1.456483598,-0.682311858,0.363944025,1.057040397
2642,100,71,4,0,0,3,British,0,5,0.738805117,0.575972675,0,2.914062782,-0.066277731,4.021128454,-0.016349068,0.536251216,-0.697949115,1.057040397
2643,100,58,1,1,1,3,English,0,1,-0.807674007,0.575972675,0,-1.036205745,-1.632917993,0.21768323,-1.168456692,-0.682311858,-1.14040459,-1.327620268
2644,100,66,3,1,1,3,English,0,5,-0.688714075,0.575972675,0,1.735912519,0.593360274,1.687196158,-1.024443239,NA,-0.343984735,-0.135289936
2647,100,NA,0,0,0,3,British,0,0,-1.402473671,0.575972675,0,0.211247474,0.758269776,-0.733178076,0.559704744,NA,-1.14040459,-2.519950601
2648,100,37,7,0,0,3,British,2,3,-0.510274176,0.575972675,0,0.211247474,0.758269776,-0.560294202,-1.456483598,NA,1.16036388,0.659596953
2649,89,59,4,1,1,NA,,5,2,0.679325151,0.284143313,0.408952323,-1.729235312,-2.869739253,1.34142841,0.271677838,-0.682311858,-1.31738678,-1.327620268
2652,100,NA,1,1,1,4,NA,2,1,-1.164553805,0.575972675,0,0.072641561,1.088088778,-1.251829697,-0.736416333,-0.682311858,0.62941731,-0.135289936
2654,100,NA,4,0,0,3,English,2,2,-1.224033772,NA,NA,-0.343176179,0.510905524,-1.16538776,0.559704744,-0.682311858,0.45243512,-2.122507157
2658,100,66,2,1,1,2,,2,1,-0.748194041,0.575972675,0,-0.689690962,-1.385553741,0.390567104,-1.888523957,-0.682311858,-1.051913495,-0.53273338
2659,100,35,11,1,1,3,NA,0,5,-0.92663394,0.575972675,0,0.28055043,-1.055734739,2.292289716,-0.304375974,-0.682311858,-0.07851145,-0.135289936
2660,100,59,4,0,0,3,European,2,NA,0.025045521,0.457030781,0.166678101,0.28055043,0.840724526,-0.733178076,-0.736416333,-0.682311858,1.16036388,1.057040397
2661,89,NA,8,0,0,3,English,0,1,0.500885252,NA,NA,0.349853387,1.005634028,-0.819620013,0.703718197,NA,-1.67135116,-0.135289936
2664,89,20,1,0,0,3,British,0,2,-1.164553805,-2.415731919,4.192397008,-0.758993919,-0.643460985,0.044799357,0.703718197,-0.682311858,-0.78644021,-0.53273338
